Channel,trl,rip_start,rip_end,rip_peak,rip_dur,entropy,surprise,meanEnt,rt,trl_num,subI
1,144,741,757,751,0.036,1.867633891,1.874469118,1.790855108,515,248,1
1,145,550,565,560,0.034,1.855388542,1.584962501,1.75333195,720,249,1
1,147,549,566,554,0.038,1.788450457,1.222392421,1.730489953,539,251,1
1,148,324,338,337,0.032,1.746465799,1.099535674,1.729485791,457,252,1
1,149,450,461,454,0.026,1.702819531,2.415037499,1.722827722,772,253,1
1,150,126,137,128,0.026,1.74741304,1.247927513,1.691740681,467,256,1
1,150,432,448,442,0.036,1.74741304,1.247927513,1.691740681,467,256,1
1,151,705,733,719,0.06,1.716763599,1.137503524,1.685181791,632,259,1
1,152,434,448,436,0.032,1.689946161,1.064130337,1.693544871,574,260,1
1,157,140,151,146,0.026,1.524526151,2.146841388,1.6391352,427,268,1
1,157,253,264,257,0.026,1.524526151,2.146841388,1.6391352,427,268,1
1,157,474,489,485,0.034,1.524526151,2.146841388,1.6391352,427,268,1
1,159,701,712,707,0.026,1.519537658,2.044394119,1.630952012,688,270,1
1,159,950,967,960,0.038,1.519537658,2.044394119,1.630952012,688,270,1
1,163,631,644,636,0.03,1.473062525,2.887525271,1.60291237,773,274,1
1,164,517,530,525,0.03,1.507227629,0.788495895,1.599903985,533,275,1
1,165,434,446,441,0.028,1.48845286,2.115477217,1.595856128,721,276,1
1,166,877,901,891,0.052,1.502653571,2.736965594,1.594767647,649,277,1
1,166,972,983,978,0.026,1.502653571,2.736965594,1.594767647,649,277,1
1,167,941,960,954,0.042,1.530413215,0.833990049,1.588644619,439,278,1
1,168,23,42,41,0.042,1.513511103,0.807354922,1.576868843,479,279,1
1,168,160,176,169,0.036,1.513511103,0.807354922,1.576868843,479,279,1
1,173,674,686,682,0.028,1.877640283,1.847996907,1.715485269,814,295,1
1,174,11,22,16,0.026,1.871019121,2.247927513,1.691740681,737,296,1
1,174,274,296,286,0.048,1.871019121,2.247927513,1.691740681,737,296,1
1,174,977,995,988,0.04,1.871019121,2.247927513,1.691740681,737,296,1
1,175,278,292,286,0.032,1.877034168,1.652076697,1.685181791,579,299,1
1,181,279,290,288,0.026,1.742036144,1.093109404,1.644207496,551,309,1
1,183,419,430,425,0.026,1.715546287,1.08246216,1.616850311,503,313,1
1,184,689,704,698,0.034,1.710447377,1.074000581,1.594767647,638,317,1
1,185,131,143,133,0.028,1.67833476,2.222392421,1.576868843,703,319,1
1,185,433,444,435,0.026,1.67833476,2.222392421,1.576868843,703,319,1
1,187,9,23,14,0.032,1.921928095,2.321928095,1.921928095,655,322,1
1,188,46,59,54,0.03,1.918295834,1.584962501,1.886842188,533,323,1
1,188,261,280,266,0.042,1.918295834,1.584962501,1.886842188,533,323,1
1,189,103,117,115,0.032,1.842370993,1.807354922,1.854508493,607,324,1
1,193,297,319,305,0.048,1.67673703,1.137503524,1.790855108,486,328,1
1,193,618,630,626,0.028,1.67673703,1.137503524,1.790855108,486,328,1
1,195,344,356,348,0.028,1.614330835,1.115477217,1.758195534,392,330,1
1,199,236,264,255,0.06,1.462755226,0.847996907,1.715485269,433,335,1
1,199,582,601,597,0.042,1.462755226,0.847996907,1.715485269,433,335,1
1,200,18,29,28,0.026,1.428794734,0.788495895,1.691740681,433,336,1
1,200,272,287,276,0.034,1.428794734,0.788495895,1.691740681,433,336,1
1,203,292,303,299,0.026,1.379558855,1.652076697,1.685181791,309,339,1
1,204,190,210,203,0.044,1.391835778,0.884522783,1.688544705,380,341,1
1,212,185,201,188,0.036,1.403304545,1.788495895,1.599903985,456,355,1
1,212,596,610,603,0.032,1.403304545,1.788495895,1.599903985,456,355,1
1,213,193,208,198,0.034,1.412031065,0.761840263,1.595856128,456,356,1
1,213,508,520,515,0.028,1.412031065,0.761840263,1.595856128,456,356,1
1,213,837,848,842,0.026,1.412031065,0.761840263,1.595856128,456,356,1
1,219,75,87,79,0.028,1.836591668,2.169925001,1.811885275,612,366,1
