subI,norm_count,entropy,time
2,1.054545455,1.7,-400
2,1.054545455,1.7,-200
2,2.109090909,1.7,0
2,1.581818182,1.7,200
2,2.636363636,1.7,400
2,0.527272727,1.7,600
2,1.581818182,1.7,800
2,1.04109589,1.8,-1000
2,1.04109589,1.8,-800
2,3.643835616,1.8,-600
2,2.602739726,1.8,-400
2,2.602739726,1.8,-200
2,0.520547945,1.8,0
2,2.602739726,1.8,200
2,1.04109589,1.8,400
2,3.643835616,1.8,600
2,1.04109589,1.8,800
2,0,1.9,-1000
2,0.595744681,1.9,-800
2,1.787234043,1.9,-600
2,2.978723404,1.9,-400
2,1.787234043,1.9,-200
2,1.191489362,1.9,0
2,2.382978723,1.9,200
2,2.382978723,1.9,400
2,0.595744681,1.9,600
2,2.978723404,1.9,800
3,NaN,0.8,-1000
3,NaN,0.8,-800
3,NaN,0.8,-600
3,NaN,0.8,-400
3,NaN,0.8,-200
3,NaN,0.8,0
3,NaN,0.8,200
3,NaN,0.8,400
3,NaN,0.8,600
3,NaN,0.8,800
3,NaN,0.9,-1000
3,NaN,0.9,-800
3,NaN,0.9,-600
3,NaN,0.9,-400
3,NaN,0.9,-200
3,NaN,0.9,0
3,NaN,0.9,200
3,NaN,0.9,400
3,NaN,0.9,600
3,NaN,0.9,800
3,NaN,1,-1000
3,NaN,1,-800
3,NaN,1,-600
3,NaN,1,-400
3,NaN,1,-200
3,NaN,1,0
3,NaN,1,200
3,NaN,1,400
3,NaN,1,600
3,NaN,1,800
3,NaN,1.1,-1000
3,NaN,1.1,-800
3,NaN,1.1,-600
3,NaN,1.1,-400
3,NaN,1.1,-200
3,NaN,1.1,0
3,NaN,1.1,200
3,NaN,1.1,400
3,NaN,1.1,600
3,NaN,1.1,800
3,0,1.2,-1000
3,0.7,1.2,-800
3,0,1.2,-600
3,1.4,1.2,-400
3,0,1.2,-200
3,2.1,1.2,0
3,0,1.2,200
3,0,1.2,400
3,0.7,1.2,600
3,0,1.2,800
3,0,1.3,-1000
3,0,1.3,-800
3,0,1.3,-600
3,0,1.3,-400
3,0,1.3,-200
3,0,1.3,0
3,1.333333333,1.3,200
3,0,1.3,400
3,0,1.3,600
3,0,1.3,800
3,0,1.4,-1000
3,4,1.4,-800
3,2,1.4,-600
3,0,1.4,-400
3,1,1.4,-200
3,2,1.4,0
3,1,1.4,200
3,1,1.4,400
3,0,1.4,600
3,1,1.4,800
3,2.125,1.5,-1000
3,4.25,1.5,-800
3,4.25,1.5,-600
3,2.125,1.5,-400
3,10.625,1.5,-200
3,14.875,1.5,0
3,12.75,1.5,200
3,8.5,1.5,400
3,6.375,1.5,600
3,6.375,1.5,800
3,3.413793103,1.6,-1000
3,4.551724138,1.6,-800
3,1.137931034,1.6,-600
3,1.137931034,1.6,-400
3,5.689655172,1.6,-200
3,5.689655172,1.6,0
3,3.413793103,1.6,200
3,4.551724138,1.6,400
3,6.827586207,1.6,600
3,1.137931034,1.6,800
3,1.428571429,1.7,-1000
3,8.571428571,1.7,-800
3,11.42857143,1.7,-600
3,2.857142857,1.7,-400
3,8.571428571,1.7,-200
3,2.857142857,1.7,0
3,8.571428571,1.7,200
3,7.142857143,1.7,400
3,4.285714286,1.7,600
3,1.428571429,1.7,800
3,4,1.8,-1000
3,4,1.8,-800
3,1.333333333,1.8,-600
3,4,1.8,-400
3,6.666666667,1.8,-200
3,8,1.8,0
3,6.666666667,1.8,200
3,1.333333333,1.8,400
3,2.666666667,1.8,600
3,4,1.8,800
3,7.142857143,1.9,-1000
3,4.761904762,1.9,-800
3,2.380952381,1.9,-600
3,9.523809524,1.9,-400
3,5.952380952,1.9,-200
3,8.333333333,1.9,0
3,11.9047619,1.9,200
3,2.380952381,1.9,400
3,4.761904762,1.9,600
3,2.380952381,1.9,800
4,0,0.8,-1000
4,1,0.8,-800
4,0,0.8,-600
4,0,0.8,-400
4,0,0.8,-200
4,0,0.8,0
4,0,0.8,200
4,0,0.8,400
4,1,0.8,600
4,0,0.8,800
4,0,0.9,-1000
4,0.714285714,0.9,-800
4,0,0.9,-600
4,0.714285714,0.9,-400
4,0,0.9,-200
4,0.714285714,0.9,0
4,0.714285714,0.9,200
4,0,0.9,400
4,0,0.9,600
4,0.714285714,0.9,800
4,0,1,-1000
4,0,1,-800
4,0,1,-600
4,0,1,-400
4,0.4,1,-200
4,0.4,1,0
4,0,1,200
4,0,1,400
4,0,1,600
4,0,1,800
4,0.857142857,1.1,-1000
4,0,1.1,-800
4,0.857142857,1.1,-600
4,0.857142857,1.1,-400
4,0.857142857,1.1,-200
4,0,1.1,0
4,0.857142857,1.1,200
4,0.857142857,1.1,400
4,0,1.1,600
4,0,1.1,800
4,2.375,1.2,-1000
4,2.375,1.2,-800
4,2.375,1.2,-600
4,2.375,1.2,-400
4,3.5625,1.2,-200
4,3.5625,1.2,0
4,1.1875,1.2,200
4,1.1875,1.2,400
